               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.024185,            0.017677,             0.00119,             0.99637,              0.9973,             0.99456,             0.79886,            0.015429,            0.011467,          0.00077721,            0.004357,            0.004357,            0.004357
                  59,            0.024074,            0.020198,           0.0012729,             0.99405,              0.9973,             0.99472,             0.76849,            0.017235,             0.01181,          0.00076434,            0.004258,            0.004258,            0.004258
                  60,            0.023998,            0.022696,           0.0011651,             0.99629,                   1,             0.99469,             0.78583,            0.018914,            0.012031,          0.00075125,            0.004159,            0.004159,            0.004159
                  61,            0.024079,             0.02223,           0.0011693,             0.99663,             0.99925,             0.99444,             0.82228,            0.017277,             0.01142,          0.00071028,             0.00406,             0.00406,             0.00406
                  62,            0.023123,             0.01762,           0.0011458,             0.99636,                   1,             0.99439,             0.81824,            0.015059,            0.011166,          0.00069145,            0.003961,            0.003961,            0.003961
                  63,            0.023539,             0.02012,           0.0010227,             0.99045,                   1,             0.99444,             0.81952,            0.017523,            0.011184,          0.00067693,            0.003862,            0.003862,            0.003862
                  64,            0.023211,            0.022123,           0.0011875,             0.99393,                   1,             0.99444,             0.80337,            0.016311,             0.01152,          0.00066293,            0.003763,            0.003763,            0.003763
                  65,            0.022067,            0.017997,          0.00091267,             0.99129,                   1,             0.99367,             0.80393,            0.016218,            0.011323,          0.00063815,            0.003664,            0.003664,            0.003664
                  66,            0.022378,            0.021007,          0.00090424,             0.99389,                   1,             0.99472,             0.83581,            0.014088,            0.011006,          0.00062582,            0.003565,            0.003565,            0.003565
                  67,            0.021849,            0.022154,          0.00090981,             0.99385,                   1,             0.99472,             0.81744,            0.014341,            0.011052,          0.00060987,            0.003466,            0.003466,            0.003466
                  68,             0.02086,            0.019914,          0.00090532,             0.99384,                   1,             0.99461,             0.80906,             0.01483,            0.011185,          0.00060275,            0.003367,            0.003367,            0.003367
                  69,            0.020807,            0.017714,          0.00099107,             0.99372,                   1,             0.99464,             0.84729,            0.014333,            0.010547,          0.00061208,            0.003268,            0.003268,            0.003268
                  70,            0.020612,            0.019242,          0.00093051,             0.99365,                   1,             0.99464,             0.85514,            0.012918,            0.010246,            0.000603,            0.003169,            0.003169,            0.003169
                  71,            0.020774,            0.018634,          0.00093191,             0.99366,                   1,             0.99456,             0.81865,            0.014101,            0.010545,          0.00059767,             0.00307,             0.00307,             0.00307
                  72,            0.019434,            0.020133,          0.00087162,             0.99362,                   1,             0.99467,             0.83794,             0.01328,            0.010217,          0.00060138,            0.002971,            0.002971,            0.002971
                  73,            0.019482,            0.015585,          0.00083782,             0.99366,                   1,             0.99481,             0.83865,            0.013882,            0.010315,          0.00059122,            0.002872,            0.002872,            0.002872
                  74,            0.018862,            0.017761,          0.00076161,             0.99337,                   1,             0.99481,             0.85284,            0.011878,           0.0097788,          0.00058045,            0.002773,            0.002773,            0.002773
                  75,            0.018899,            0.017132,          0.00076065,             0.99485,                   1,             0.99483,             0.84658,            0.013119,            0.010298,          0.00056274,            0.002674,            0.002674,            0.002674
                  76,            0.018554,            0.020399,          0.00099394,             0.99475,                   1,             0.99469,             0.82112,            0.013768,            0.010297,          0.00054402,            0.002575,            0.002575,            0.002575
                  77,            0.019124,            0.019209,          0.00079496,             0.99416,                   1,             0.99467,             0.85134,            0.012927,            0.010148,          0.00052895,            0.002476,            0.002476,            0.002476
                  78,            0.019725,            0.021451,           0.0007788,             0.99412,                   1,             0.99467,             0.86076,            0.011284,           0.0096767,          0.00052217,            0.002377,            0.002377,            0.002377
                  79,            0.018633,             0.01845,          0.00084317,             0.99471,                   1,             0.99464,             0.86342,             0.01124,           0.0096255,          0.00051368,            0.002278,            0.002278,            0.002278
